0.050000 -1.836936e-002 8.026566e-013 1.278710e-012 4.836308e-012
0.100000 -3.685354e-002 4.728787e-013 1.736743e-012 5.503098e-013
0.150000 -5.557103e-002 1.203114e-012 2.559918e-012 2.403411e-012
0.200000 -7.464796e-002 3.044509e-013 2.988373e-012 1.113776e-012
0.250000 -9.422265e-002 8.126833e-013 5.586642e-013 1.225775e-011
0.300000 -1.144512e-001 1.917327e-012 8.518602e-013 5.844922e-012
0.350000 -1.355146e-001 1.696365e-012 2.681910e-012 1.507378e-012
0.400000 -1.576285e-001 1.870726e-013 9.183765e-013 4.438061e-012
0.450000 -1.810563e-001 9.456602e-013 6.048217e-013 1.380895e-012
0.500000 -2.061289e-001 1.249917e-012 2.308986e-013 1.127543e-012
0.550000 -2.332731e-001 1.245004e-012 1.772277e-012 1.372791e-013
0.600000 -2.630568e-001 1.760259e-012 4.871104e-013 2.256584e-012
0.650000 -2.962626e-001 8.794077e-013 1.068645e-012 2.431388e-012
0.700000 -3.340137e-001 1.315503e-012 8.619216e-013 2.858380e-012
0.750000 -3.780081e-001 1.968370e-012 1.954492e-012 5.175860e-013
0.800000 -4.309918e-001 1.465161e-012 5.732081e-013 2.516709e-012
0.850000 -4.978491e-001 1.825928e-012 1.689204e-013 6.951106e-013
0.900000 -5.886571e-001 1.548095e-012 2.221001e-012 5.068168e-013
0.950000 -7.309143e-001 6.381562e-013 3.327338e-013 1.160183e-012
